iter	Passed	Remaining
0	151	151734
1	152	76186
2	153	50929
3	153	38283
4	154	30699
5	154	25655
6	155	22079
7	156	19357
8	156	17240
9	157	15543
10	157	14155
11	157	12998
12	158	12021
13	158	11190
14	159	10464
15	159	9826
16	160	9263
17	160	8764
18	161	8316
19	161	7924
20	162	7561
21	162	7236
22	163	6936
23	163	6659
24	164	6404
25	164	6171
26	165	5950
27	165	5747
28	165	5557
29	166	5380
30	166	5216
31	167	5061
32	167	4920
33	168	4782
34	168	4656
35	169	4533
36	169	4418
37	170	4308
38	170	4205
39	171	4105
40	171	4012
41	172	3924
42	172	3838
43	172	3757
44	173	3682
45	174	3608
46	174	3537
47	174	3469
48	175	3404
49	175	3341
50	176	3283
51	176	3226
52	177	3169
53	177	3114
54	178	3062
55	178	3011
56	179	2962
57	179	2917
58	180	2873
59	180	2829
60	180	2786
61	181	2744
62	181	2705
63	182	2667
64	182	2630
65	183	2593
66	183	2559
67	184	2522
68	184	2488
69	184	2457
70	185	2425
71	185	2394
72	186	2368
73	186	2338
74	187	2310
75	187	2284
76	188	2257
77	188	2232
78	189	2207
79	189	2181
80	190	2158
81	190	2134
82	191	2112
83	191	2089
84	192	2067
85	192	2046
86	192	2024
87	193	2004
88	193	1985
89	194	1965
90	194	1946
91	195	1928
92	195	1910
93	196	1892
94	196	1875
95	197	1857
96	197	1842
97	198	1825
98	198	1809
99	199	1794
100	199	1778
101	200	1761
102	200	1746
103	200	1731
104	201	1716
105	201	1703
106	202	1689
107	202	1675
108	203	1662
109	203	1648
110	204	1636
111	204	1624
112	205	1612
113	205	1600
114	206	1588
115	206	1575
116	207	1563
117	207	1551
118	207	1539
119	208	1528
120	208	1517
121	209	1506
122	209	1494
123	209	1483
124	210	1472
125	210	1462
126	211	1452
127	211	1442
128	212	1432
129	212	1422
130	213	1413
131	213	1404
132	214	1395
133	214	1387
134	215	1378
135	215	1370
136	216	1361
137	216	1352
138	216	1344
139	217	1336
140	218	1328
141	218	1320
142	219	1313
143	219	1305
144	220	1298
145	220	1290
146	221	1282
147	221	1275
148	222	1268
149	222	1261
150	223	1254
151	223	1248
152	224	1241
153	224	1234
154	225	1227
155	225	1220
156	226	1214
157	226	1207
158	227	1201
159	227	1194
160	227	1188
161	228	1181
162	228	1175
163	229	1169
164	230	1164
165	230	1158
166	231	1152
167	231	1146
168	232	1140
169	232	1135
170	233	1129
171	233	1124
172	234	1118
173	234	1112
174	234	1107
175	235	1101
176	235	1096
177	236	1091
178	236	1086
179	237	1081
180	237	1075
181	238	1069
182	238	1064
183	239	1060
184	239	1055
185	240	1050
186	240	1045
187	241	1041
188	241	1036
189	242	1031
190	242	1027
191	243	1022
192	243	1018
193	244	1014
194	244	1009
195	245	1005
196	245	1000
197	245	996
198	246	991
199	246	987
200	247	984
201	248	980
202	248	977
203	249	973
204	249	969
205	250	964
206	250	960
207	251	956
208	251	953
209	252	949
210	252	945
211	253	941
212	253	937
213	254	933
214	254	930
215	255	926
216	255	922
217	256	919
218	256	915
219	257	911
220	257	908
221	258	904
222	258	900
223	259	897
224	259	893
225	259	890
226	260	887
